,PassengerId,Pclass,Name,Sex,Age,Title,Alias,SibSp,Parch,Ticket,Fam,Fare,Cabin,Cabin_Floor,Cabin_Nb,Ticket_Type,Embarked
69,70,3,"Kink, Mr. Vincenz",male,26.0,Mr,0,2,0,315151,2,8.6625,U,U,0,315151,S
70,71,2,"Jenkin, Mr. Stephen Curnow",male,32.0,Mr,0,0,0,C.A. 33111,0,10.5,U,U,0,C.A.,S
71,72,3,"Goodwin, Miss. Lillian Amy",female,16.0,Miss,0,5,2,CA 2144,7,46.9,U,U,0,CA,S
72,73,2,"Hood, Mr. Ambrose Jr",male,21.0,Mr,0,0,0,S.O.C. 14879,0,73.5,U,U,0,S.O.C.,S
73,74,3,"Chronopoulos, Mr. Apostolos",male,26.0,Mr,0,1,0,2680,1,14.4542,U,U,0,2680,C
74,75,3,"Bing, Mr. Lee",male,32.0,Mr,0,0,0,1601,0,56.4958,U,U,0,1601,S
75,76,3,"Moen, Mr. Sigurd Hansen",male,25.0,Mr,0,0,0,348123,0,7.65,F G73,FG,73,348123,S
76,77,3,"Staneff, Mr. Ivan",male,29.8811376673,Mr,0,0,0,349208,0,7.8958,U,U,0,349208,S
77,78,3,"Moutal, Mr. Rahamin Haim",male,29.8811376673,Mr,0,0,0,374746,0,8.05,U,U,0,374746,S
78,79,2,"Caldwell, Master. Alden Gates",male,0.83,Master,0,0,2,248738,2,29.0,U,U,0,248738,S
79,80,3,"Dowdell, Miss. Elizabeth",female,30.0,Miss,0,0,0,364516,0,12.475,U,U,0,364516,S
80,81,3,"Waelens, Mr. Achille",male,22.0,Mr,0,0,0,345767,0,9.0,U,U,0,345767,S
81,82,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,Mr,0,0,0,345779,0,9.5,U,U,0,345779,S
82,83,3,"McDermott, Miss. Brigdet Delia",female,29.8811376673,Miss,0,0,0,330932,0,7.7875,U,U,0,330932,Q
83,84,1,"Carrau, Mr. Francisco M",male,28.0,Mr,0,0,0,113059,0,47.1,U,U,0,113059,S
84,85,2,"Ilett, Miss. Bertha",female,17.0,Miss,0,0,0,SO/C 14885,0,10.5,U,U,0,SO/C,S
85,86,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,Mrs,1,3,0,3101278,3,15.85,U,U,0,3101278,S
86,87,3,"Ford, Mr. William Neal",male,16.0,Mr,0,1,3,W./C. 6608,4,34.375,U,U,0,W./C.,S
87,88,3,"Slocovski, Mr. Selman Francis",male,29.8811376673,Mr,0,0,0,SOTON/OQ 392086,0,8.05,U,U,0,SOTON/OQ,S
88,89,1,"Fortune, Miss. Mabel Helen",female,23.0,Miss,0,3,2,19950,5,263.0,C23 C25 C27,C,23,19950,S
89,90,3,"Celotti, Mr. Francesco",male,24.0,Mr,0,0,0,343275,0,8.05,U,U,0,343275,S
90,91,3,"Christmann, Mr. Emil",male,29.0,Mr,0,0,0,343276,0,8.05,U,U,0,343276,S
91,92,3,"Andreasson, Mr. Paul Edvin",male,20.0,Mr,0,0,0,347466,0,7.8542,U,U,0,347466,S
92,93,1,"Chaffee, Mr. Herbert Fuller",male,46.0,Mr,0,1,0,W.E.P. 5734,1,61.175,E31,E,31,W.E.P.,S
93,94,3,"Dean, Mr. Bertram Frank",male,26.0,Mr,0,1,2,C.A. 2315,3,20.575,U,U,0,C.A.,S
94,95,3,"Coxon, Mr. Daniel",male,59.0,Mr,0,0,0,364500,0,7.25,U,U,0,364500,S
95,96,3,"Shorney, Mr. Charles Joseph",male,29.8811376673,Mr,0,0,0,374910,0,8.05,U,U,0,374910,S
96,97,1,"Goldschmidt, Mr. George B",male,71.0,Mr,0,0,0,PC 17754,0,34.6542,A5,A,5,PC,C
97,98,1,"Greenfield, Mr. William Bertram",male,23.0,Mr,0,0,1,PC 17759,1,63.3583,D10 D12,D,10,PC,C
98,99,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,Mrs,1,0,1,231919,1,23.0,U,U,0,231919,S
99,100,2,"Kantor, Mr. Sinai",male,34.0,Mr,0,1,0,244367,1,26.0,U,U,0,244367,S
100,101,3,"Petranec, Miss. Matilda",female,28.0,Miss,0,0,0,349245,0,7.8958,U,U,0,349245,S
101,102,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,29.8811376673,Mr,1,0,0,349215,0,7.8958,U,U,0,349215,S
102,103,1,"White, Mr. Richard Frasar",male,21.0,Mr,0,0,1,35281,1,77.2875,D26,D,26,35281,S
103,104,3,"Johansson, Mr. Gustaf Joel",male,33.0,Mr,0,0,0,7540,0,8.6542,U,U,0,7540,S
104,105,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,Mr,0,2,0,3101276,2,7.925,U,U,0,3101276,S
105,106,3,"Mionoff, Mr. Stoytcho",male,28.0,Mr,0,0,0,349207,0,7.8958,U,U,0,349207,S
106,107,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,Miss,0,0,0,343120,0,7.65,U,U,0,343120,S
107,108,3,"Moss, Mr. Albert Johan",male,29.8811376673,Mr,0,0,0,312991,0,7.775,U,U,0,312991,S
108,109,3,"Rekic, Mr. Tido",male,38.0,Mr,0,0,0,349249,0,7.8958,U,U,0,349249,S
109,110,3,"Moran, Miss. Bertha",female,29.8811376673,Miss,0,1,0,371110,1,24.15,U,U,0,371110,Q
110,111,1,"Porter, Mr. Walter Chamberlain",male,47.0,Mr,0,0,0,110465,0,52.0,C110,C,110,110465,S
111,112,3,"Zabour, Miss. Hileni",female,14.5,Miss,0,1,0,2665,1,14.4542,U,U,0,2665,C
112,113,3,"Barton, Mr. David John",male,22.0,Mr,0,0,0,324669,0,8.05,U,U,0,324669,S
113,114,3,"Jussila, Miss. Katriina",female,20.0,Miss,0,1,0,4136,1,9.825,U,U,0,4136,S
114,115,3,"Attalah, Miss. Malake",female,17.0,Miss,0,0,0,2627,0,14.4583,U,U,0,2627,C
115,116,3,"Pekoniemi, Mr. Edvard",male,21.0,Mr,0,0,0,STON/O 2. 3101294,0,7.925,U,U,0,STON/O,S
116,117,3,"Connors, Mr. Patrick",male,70.5,Mr,0,0,0,370369,0,7.75,U,U,0,370369,Q
117,118,2,"Turpin, Mr. William John Robert",male,29.0,Mr,0,1,0,11668,1,21.0,U,U,0,11668,S
118,119,1,"Baxter, Mr. Quigg Edmond",male,24.0,Mr,0,0,1,PC 17558,1,247.5208,B58 B60,B,58,PC,C
119,120,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,Miss,0,4,2,347082,6,31.275,U,U,0,347082,S
120,121,2,"Hickman, Mr. Stanley George",male,21.0,Mr,0,2,0,S.O.C. 14879,2,73.5,U,U,0,S.O.C.,S
121,122,3,"Moore, Mr. Leonard Charles",male,29.8811376673,Mr,0,0,0,A4. 54510,0,8.05,U,U,0,A4.,S
122,123,2,"Nasser, Mr. Nicholas",male,32.5,Mr,0,1,0,237736,1,30.0708,U,U,0,237736,C
123,124,2,"Webber, Miss. Susan",female,32.5,Miss,0,0,0,27267,0,13.0,E101,E,101,27267,S
124,125,1,"White, Mr. Percival Wayland",male,54.0,Mr,0,0,1,35281,1,77.2875,D26,D,26,35281,S
125,126,3,"Nicola-Yarred, Master. Elias",male,12.0,Master,0,1,0,2651,1,11.2417,U,U,0,2651,C
126,127,3,"McMahon, Mr. Martin",male,29.8811376673,Mr,0,0,0,370372,0,7.75,U,U,0,370372,Q
127,128,3,"Madsen, Mr. Fridtjof Arne",male,24.0,Mr,0,0,0,C 17369,0,7.1417,U,U,0,C,S
128,129,3,"Peter, Miss. Anna",female,29.8811376673,Miss,0,1,1,2668,2,22.3583,F E69,FE,69,2668,C
129,130,3,"Ekstrom, Mr. Johan",male,45.0,Mr,0,0,0,347061,0,6.975,U,U,0,347061,S
130,131,3,"Drazenoic, Mr. Jozef",male,33.0,Mr,0,0,0,349241,0,7.8958,U,U,0,349241,C
131,132,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,Mr,0,0,0,SOTON/O.Q. 3101307,0,7.05,U,U,0,SOTON/O.Q.,S
132,133,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,Mrs,1,1,0,A/5. 3337,1,14.5,U,U,0,A/5.,S
133,134,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,Mrs,1,1,0,228414,1,26.0,U,U,0,228414,S
134,135,2,"Sobey, Mr. Samuel James Hayden",male,25.0,Mr,0,0,0,C.A. 29178,0,13.0,U,U,0,C.A.,S
135,136,2,"Richard, Mr. Emile",male,23.0,Mr,0,0,0,SC/PARIS 2133,0,15.0458,U,U,0,SC/PARIS,C
136,137,1,"Newsom, Miss. Helen Monypeny",female,19.0,Miss,0,0,2,11752,2,26.2833,D47,D,47,11752,S
137,138,1,"Futrelle, Mr. Jacques Heath",male,37.0,Mr,0,1,0,113803,1,53.1,C123,C,123,113803,S
138,139,3,"Osen, Mr. Olaf Elon",male,16.0,Mr,0,0,0,7534,0,9.2167,U,U,0,7534,S
139,140,1,"Giglio, Mr. Victor",male,24.0,Mr,0,0,0,PC 17593,0,79.2,B86,B,86,PC,C
140,141,3,"Boulos, Mrs. Joseph (Sultana)",female,29.8811376673,Mrs,1,0,2,2678,2,15.2458,U,U,0,2678,C
141,142,3,"Nysten, Miss. Anna Sofia",female,22.0,Miss,0,0,0,347081,0,7.75,U,U,0,347081,S
142,143,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,Mrs,1,1,0,STON/O2. 3101279,1,15.85,U,U,0,STON/O2.,S
143,144,3,"Burke, Mr. Jeremiah",male,19.0,Mr,0,0,0,365222,0,6.75,U,U,0,365222,Q
144,145,2,"Andrew, Mr. Edgardo Samuel",male,18.0,Mr,0,0,0,231945,0,11.5,U,U,0,231945,S
145,146,2,"Nicholls, Mr. Joseph Charles",male,19.0,Mr,0,1,1,C.A. 33112,2,36.75,U,U,0,C.A.,S
146,147,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,Mr,1,0,0,350043,0,7.7958,U,U,0,350043,S
147,148,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,Miss,1,2,2,W./C. 6608,4,34.375,U,U,0,W./C.,S
148,149,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,Mr,1,0,2,230080,2,26.0,F2,F,2,230080,S
149,150,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,Rev,0,0,0,244310,0,13.0,U,U,0,244310,S
150,151,2,"Bateman, Rev. Robert James",male,51.0,Rev,0,0,0,S.O.P. 1166,0,12.525,U,U,0,S.O.P.,S
151,152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,Mrs,1,1,0,113776,1,66.6,C2,C,2,113776,S
152,153,3,"Meo, Mr. Alfonzo",male,55.5,Mr,0,0,0,A.5. 11206,0,8.05,U,U,0,A.5.,S
153,154,3,"van Billiard, Mr. Austin Blyler",male,40.5,Mr,0,0,2,A/5. 851,2,14.5,U,U,0,A/5.,S
154,155,3,"Olsen, Mr. Ole Martin",male,29.8811376673,Mr,0,0,0,Fa 265302,0,7.3125,U,U,0,Fa,S
155,156,1,"Williams, Mr. Charles Duane",male,51.0,Mr,0,0,1,PC 17597,1,61.3792,U,U,0,PC,C
156,157,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,Miss,1,0,0,35851,0,7.7333,U,U,0,35851,Q
157,158,3,"Corn, Mr. Harry",male,30.0,Mr,0,0,0,SOTON/OQ 392090,0,8.05,U,U,0,SOTON/OQ,S
158,159,3,"Smiljanic, Mr. Mile",male,29.8811376673,Mr,0,0,0,315037,0,8.6625,U,U,0,315037,S
159,160,3,"Sage, Master. Thomas Henry",male,29.8811376673,Master,0,8,2,CA. 2343,10,69.55,U,U,0,CA.,S
160,161,3,"Cribb, Mr. John Hatfield",male,44.0,Mr,0,0,1,371362,1,16.1,U,U,0,371362,S
161,162,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,Mrs,1,0,0,C.A. 33595,0,15.75,U,U,0,C.A.,S
162,163,3,"Bengtsson, Mr. John Viktor",male,26.0,Mr,0,0,0,347068,0,7.775,U,U,0,347068,S
163,164,3,"Calic, Mr. Jovo",male,17.0,Mr,0,0,0,315093,0,8.6625,U,U,0,315093,S
164,165,3,"Panula, Master. Eino Viljami",male,1.0,Master,0,4,1,3101295,5,39.6875,U,U,0,3101295,S
165,166,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,Master,1,0,2,363291,2,20.525,U,U,0,363291,S
166,167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,29.8811376673,Mrs,1,0,1,113505,1,55.0,E33,E,33,113505,S
167,168,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,Mrs,1,1,4,347088,5,27.9,U,U,0,347088,S
168,169,1,"Baumann, Mr. John D",male,29.8811376673,Mr,0,0,0,PC 17318,0,25.925,U,U,0,PC,S
169,170,3,"Ling, Mr. Lee",male,28.0,Mr,0,0,0,1601,0,56.4958,U,U,0,1601,S
170,171,1,"Van der hoef, Mr. Wyckoff",male,61.0,Mr,0,0,0,111240,0,33.5,B19,B,19,111240,S
171,172,3,"Rice, Master. Arthur",male,4.0,Master,0,4,1,382652,5,29.125,U,U,0,382652,Q
172,173,3,"Johnson, Miss. Eleanor Ileen",female,1.0,Miss,0,1,1,347742,2,11.1333,U,U,0,347742,S
173,174,3,"Sivola, Mr. Antti Wilhelm",male,21.0,Mr,0,0,0,STON/O 2. 3101280,0,7.925,U,U,0,STON/O,S
174,175,1,"Smith, Mr. James Clinch",male,56.0,Mr,0,0,0,17764,0,30.6958,A7,A,7,17764,C
175,176,3,"Klasen, Mr. Klas Albin",male,18.0,Mr,0,1,1,350404,2,7.8542,U,U,0,350404,S
176,177,3,"Lefebre, Master. Henry Forbes",male,29.8811376673,Master,0,3,1,4133,4,25.4667,U,U,0,4133,S
177,178,1,"Isham, Miss. Ann Elizabeth",female,50.0,Miss,0,0,0,PC 17595,0,28.7125,C49,C,49,PC,C
178,179,2,"Hale, Mr. Reginald",male,30.0,Mr,0,0,0,250653,0,13.0,U,U,0,250653,S
179,180,3,"Leonard, Mr. Lionel",male,36.0,Mr,0,0,0,LINE,0,0.0,U,U,0,LINE,S
180,181,3,"Sage, Miss. Constance Gladys",female,29.8811376673,Miss,0,8,2,CA. 2343,10,69.55,U,U,0,CA.,S
181,182,2,"Pernot, Mr. Rene",male,29.8811376673,Mr,0,0,0,SC/PARIS 2131,0,15.05,U,U,0,SC/PARIS,C
182,183,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,Master,0,4,2,347077,6,31.3875,U,U,0,347077,S
183,184,2,"Becker, Master. Richard F",male,1.0,Master,0,2,1,230136,3,39.0,F4,F,4,230136,S
184,185,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,Miss,0,0,2,315153,2,22.025,U,U,0,315153,S
185,186,1,"Rood, Mr. Hugh Roscoe",male,29.8811376673,Mr,0,0,0,113767,0,50.0,A32,A,32,113767,S
186,187,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,29.8811376673,Mrs,1,1,0,370365,1,15.5,U,U,0,370365,Q
187,188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,Mr,1,0,0,111428,0,26.55,U,U,0,111428,S
188,189,3,"Bourke, Mr. John",male,40.0,Mr,0,1,1,364849,2,15.5,U,U,0,364849,Q
189,190,3,"Turcin, Mr. Stjepan",male,36.0,Mr,0,0,0,349247,0,7.8958,U,U,0,349247,S
190,191,2,"Pinsky, Mrs. (Rosa)",female,32.0,Mrs,1,0,0,234604,0,13.0,U,U,0,234604,S
191,192,2,"Carbines, Mr. William",male,19.0,Mr,0,0,0,28424,0,13.0,U,U,0,28424,S
192,193,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,Miss,0,1,0,350046,1,7.8542,U,U,0,350046,S
193,194,2,"Navratil, Master. Michel M",male,3.0,Master,0,1,1,230080,2,26.0,F2,F,2,230080,S
194,195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,Mrs,1,0,0,PC 17610,0,27.7208,B4,B,4,PC,C
195,196,1,"Lurette, Miss. Elise",female,58.0,Miss,0,0,0,PC 17569,0,146.5208,B80,B,80,PC,C
196,197,3,"Mernagh, Mr. Robert",male,29.8811376673,Mr,0,0,0,368703,0,7.75,U,U,0,368703,Q
197,198,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,Mr,0,0,1,4579,1,8.4042,U,U,0,4579,S
198,199,3,"Madigan, Miss. Margaret ""Maggie""",female,29.8811376673,Miss,1,0,0,370370,0,7.75,U,U,0,370370,Q
199,200,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,Miss,1,0,0,248747,0,13.0,U,U,0,248747,S
200,201,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,Mr,0,0,0,345770,0,9.5,U,U,0,345770,S
201,202,3,"Sage, Mr. Frederick",male,29.8811376673,Mr,0,8,2,CA. 2343,10,69.55,U,U,0,CA.,S
202,203,3,"Johanson, Mr. Jakob Alfred",male,34.0,Mr,0,0,0,3101264,0,6.4958,U,U,0,3101264,S
203,204,3,"Youseff, Mr. Gerious",male,45.5,Mr,0,0,0,2628,0,7.225,U,U,0,2628,C
204,205,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,Mr,1,0,0,A/5 3540,0,8.05,U,U,0,A/5,S
205,206,3,"Strom, Miss. Telma Matilda",female,2.0,Miss,0,0,1,347054,1,10.4625,G6,G,6,347054,S
206,207,3,"Backstrom, Mr. Karl Alfred",male,32.0,Mr,0,1,0,3101278,1,15.85,U,U,0,3101278,S
207,208,3,"Albimona, Mr. Nassef Cassem",male,26.0,Mr,0,0,0,2699,0,18.7875,U,U,0,2699,C
208,209,3,"Carr, Miss. Helen ""Ellen""",female,16.0,Miss,1,0,0,367231,0,7.75,U,U,0,367231,Q
209,210,1,"Blank, Mr. Henry",male,40.0,Mr,0,0,0,112277,0,31.0,A31,A,31,112277,C
210,211,3,"Ali, Mr. Ahmed",male,24.0,Mr,0,0,0,SOTON/O.Q. 3101311,0,7.05,U,U,0,SOTON/O.Q.,S
211,212,2,"Cameron, Miss. Clear Annie",female,35.0,Miss,0,0,0,F.C.C. 13528,0,21.0,U,U,0,F.C.C.,S
212,213,3,"Perkin, Mr. John Henry",male,22.0,Mr,0,0,0,A/5 21174,0,7.25,U,U,0,A/5,S
213,214,2,"Givard, Mr. Hans Kristensen",male,30.0,Mr,0,0,0,250646,0,13.0,U,U,0,250646,S
